State,District,Latitude,Longitude,District code,Population,Households with Internet,Non Workers,Cultivator Workers,Agricultural Workers,Household Workers,Other Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduate Education,Other Education,sex ratio,Literacy Rate
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,40692,3956579,271216,658203,85349,867118,5356075,439952,12551,4803,1062,2151,203,1244842,1095655,920051,698351,463361,452340,46126,90.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,3361832,349032,1057417,46164,284926,4086453,990349,4865,668,878,464,104,1280809,982506,450631,241118,121594,68781,5149,90.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,4170,2121301,197424,745015,28840,172039,1989420,1255641,7989,614,353,1450,650,668690,360243,184327,119259,83226,59996,11116,92.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,4594,2035039,218087,405544,48512,252736,2645415,300487,2889,2569,1584,252,537,535187,548971,399053,333053,194928,161555,16006,92.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1668,1250763,164600,356833,18651,109814,1629254,266620,1292,197,60,109,8,348300,194897,104182,90182,64560,47051,6016,91.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,2918166,299039,721629,47917,274815,3800598,452370,2126,554,292,231,112,781038,710468,438908,284082,186153,129933,19126,91.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,2911631,232097,493461,42103,272570,3534772,406449,2330,371,229,322,107,793945,693465,433759,361171,213251,148065,9848,95.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,631,411687,54511,109696,9917,50531,596102,37653,313,75,41,43,31,129673,110525,59529,52860,33856,19676,3399,93.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,478,439874,38727,136334,9119,32192,552492,99342,522,216,73,52,44,128209,91277,37063,25657,16031,10091,661,89.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,3460,2308991,216012,635907,37932,224732,2672311,740101,2897,261,253,188,20,733380,394422,196321,136500,92783,70549,11936,90.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,2398048,264928,376344,31244,259900,2712635,608282,2618,369,407,359,86,689880,612635,445257,355277,186817,119164,12091,99.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1845,1351394,201882,554271,22555,98974,1809936,409251,3758,271,136,546,42,467768,269737,157787,99530,69665,45726,5850,93.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,2434677,255017,502637,36958,265732,3152346,333980,2203,707,362,246,71,810191,487594,370247,291392,178320,124448,9094,89.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,651314,2578,1687,4799,395072,852574,51447,8720,138329,1160,1960,246,80406,118667,114209,124707,98786,174528,20188,82.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,686668,284472,287828,10821,143410,1277975,12413,27951,2099,985,3466,86925,183667,178766,139330,60936,57413,32895,3227,102.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,176085,127169,4138,2561,72003,371973,6984,236,2387,113,10,7,35817,59489,53515,64730,45695,25474,3241,98.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,1460432,276691,572292,21658,332556,2540763,57973,20745,6373,2979,2357,29122,382091,407692,337793,189296,152838,134637,19654,97.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,1574,176085,127169,4138,2561,72003,371973,6984,236,2387,113,10,7,35817,59489,53515,64730,45695,25474,3241,98.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,8566,1460432,276691,572292,21658,332556,2540763,57973,20745,6373,2979,2357,29122,382091,407692,337793,189296,152838,134637,19654,97.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,396886,135435,182602,7310,77548,777188,10425,2644,1196,667,3612,3685,143128,148544,120146,65196,58875,31319,5096,101.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,1847067,392341,560415,22565,521484,3129745,83499,24304,24276,19587,17209,42569,463598,573291,497668,309508,286244,202424,30555,99.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,364309,226866,197558,7553,55383,629509,15336,189588,474,467,694,14835,120768,137681,127299,64188,50562,26161,3166,101.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,685454,113071,221806,7899,178410,1133176,30195,21059,3666,897,753,15649,178191,188303,168387,89167,83166,61215,11792,97.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,1667,351846,118498,94648,4830,89095,604259,25878,9398,1391,84,1155,15474,143413,109639,87969,47127,38677,26802,4134,97.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,961,533494,139199,278073,6135,75853,1008061,12570,5284,2941,521,1495,1417,179770,194739,152183,78583,57949,33357,5951,102.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,803817,208313,323788,9959,148107,1422986,17332,47653,2117,781,409,1782,246480,260661,210964,130700,93340,66358,8804,99.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,1561231,206975,191182,32919,641893,2239370,227465,17452,7477,121791,12260,1159,231263,407662,335886,441072,221410,204507,19940,96.0,74.0
